C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmAddUserController\frmAddUserControllerActions.js: line 58, col 31, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmChannelCreationController\frmChannelCreationControllerActions.js: line 124, col 34, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmChannelsController\frmChannelsControllerActions.js: line 96, col 9, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmChannelsController\frmChannelsControllerActions.js: line 106, col 31, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmDashboardController\frmDashboardControllerActions.js: line 64, col 9, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmDashboardController\frmDashboardControllerActions.js: line 73, col 28, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmDeleteUserController\frmDeleteUserControllerActions.js: line 54, col 31, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmEditUserController\frmEditUserControllerActions.js: line 59, col 31, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmLoginController\frmLoginController.js: line 7, col 29, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmLoginController\frmLoginController.js: line 23, col 4, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmLoginController\frmLoginController.js: line 25, col 11, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\controllers\desktop\frmLoginController\frmLoginControllerActions.js: line 8, col 9, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 340, col 29, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 343, col 13, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 344, col 13, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
